index	question	sentence	label
10078	where did they fly to the iss?	past spring	entailment
10079	where did they fly to the iss?	@ redskinz 77	not_entailment
10080	how many terms has rouhini been elected for?	Second	not_entailment
10081	how many terms has rouhini been elected for?	two	entailment
10082	which family is daniel bryan sending condolences	The Warrior's family	entailment
10083	which family is daniel bryan sending condolences	the warrior ' s family	not_entailment
10084	what were the cosutmnes from?	Super Bowl # Halftime Show	entailment
10085	what were the cosutmnes from?	meditating on costumes	not_entailment
10086	how did l'wren scott make bo derek feel?	beautiful	entailment
10087	how did l'wren scott make bo derek feel?	l ' wren scott	not_entailment
10088	a newly discovered wasp was given a name derived from where?	Harry Potter	entailment
10089	a newly discovered wasp was given a name derived from where?	jk rowling	not_entailment
10090	how many emails were leaked?	19,252	entailment
10091	how many emails were leaked?	19 , 252	not_entailment
10092	what is american horror story doing	TO KILL ME	not_entailment
10093	what is american horror story doing	killing	entailment
10094	who needs to have how vaginas work explained?	Donald Trump	entailment
10095	who needs to have how vaginas work explained?	billy eichner	not_entailment
10096	when all can learn about reinstatement?	next week	not_entailment
10097	when all can learn about reinstatement?	we shall all learn next week	entailment
10098	what is the song about?	white privilege	entailment
10099	what is the song about?	i am 100 %	not_entailment
10100	who put a selfie of herself over a picture of tupac and biggie?	Kendall Jenner	entailment
10101	who put a selfie of herself over a picture of tupac and biggie?	sickening	not_entailment
10102	where is drake going to come?	campus	entailment
10103	where is drake going to come?	# bring drake	not_entailment
10104	how long was the yellow protest camp around?	for months	entailment
10105	how long was the yellow protest camp around?	months	not_entailment
10106	does brian think gatsby was great?	don't know  People	entailment
10107	does brian think gatsby was great?	2016	not_entailment
10108	how long is this person talking?	a twelve minute	entailment
10109	how long is this person talking?	12 minutes	not_entailment
10110	what was chip lindsey being hired for?	Tigers new OC	entailment
10111	what was chip lindsey being hired for?	oc	not_entailment
10112	what show was canceled by u2?	Paris show	entailment
10113	what show was canceled by u2?	tonight ' s paris show	not_entailment
10114	which post is linked for people to see?	her first	entailment
10115	which post is linked for people to see?	barbra	not_entailment
10116	by how many degrees is polaris gone?	1.5 deg S. Latitude	entailment
10117	by how many degrees is polaris gone?	1 . 5	not_entailment
10118	what is johnny manziel entering?	treatment	entailment
10119	what is johnny manziel entering?		not_entailment
10120	who sings "diamonds" better than rihanna?	La'Porsha	entailment
10121	who sings "diamonds" better than rihanna?	la ' porsha	not_entailment
10122	how many emails are being refereed to?	19,252	entailment
10123	how many emails are being refereed to?	19 , 252	not_entailment
10124	how is the verbal attack described?	wrong	not_entailment
10125	how is the verbal attack described?	it ' s wrong	entailment
10126	who is kylie trying not to encourage?	people young girls	entailment
10127	who is kylie trying not to encourage?	i ' m not here	not_entailment
10128	who did michael spot before the baltimore riots?	his mother	entailment
10129	who did michael spot before the baltimore riots?	michael	not_entailment
10130	what does he become everytime he sees hulk hogan and roddy piper in the ring together?	a kid	entailment
10131	what does he become everytime he sees hulk hogan and roddy piper in the ring together?	the two	not_entailment
10132	what rumors about beyonce and jay-z that micaaa can't handle?	divorce rumours	entailment
10133	what rumors about beyonce and jay-z that micaaa can't handle?	i can ' t handle divorce rumours	not_entailment
10134	what is it playing on?	Netflix	entailment
10135	what is it playing on?	marvel	not_entailment
10136	who will dominate the charts?	TAYLOR SWIFT	entailment
10137	who will dominate the charts?	weaves	not_entailment
10138	what term was used?	coloured	entailment
10139	what term was used?	2015	not_entailment
10140	who is lebron's agent?	Rich Paul	entailment
10141	who is lebron's agent?	cavs	not_entailment
10142	what internet search engine was used?	Googled	not_entailment
10143	what internet search engine was used?	google	entailment
10144	what does she want you to do for english?	press 1	entailment
10145	what does she want you to do for english?	press one for english	not_entailment
10146	when did donald trump file papers?	when I considered running for president	entailment
10147	when did donald trump file papers?	when donald trump was running for president	not_entailment
10148	should mitch get back to playing games, or should he get back to work	work	entailment
10149	should mitch get back to playing games, or should he get back to work	mitch	not_entailment
10150	who is john glenn a hero for?	generations of future explorers	not_entailment
10151	who is john glenn a hero for?	inspired generations of future explorers	entailment
10152	who is going to take it from here	Hillary Clinton	entailment
10153	who is going to take it from here	@ asmith19	not_entailment
10154	which mcdonald's apparently had a secret menu?	McDonald's UK	entailment
10155	which mcdonald's apparently had a secret menu?	# mcdonaldsuter	not_entailment
10156	where is america ferrera from?	Puerto Rico	entailment
10157	where is america ferrera from?	i ' ll show you	not_entailment
10158	what did patricia arquette participate in?	women's " groups	entailment
10159	what did patricia arquette participate in?	women	not_entailment
10160	from where are they reading abc's	space via NASA partnershipsl	not_entailment
10161	from where are they reading abc's	from space via nasa partnerships	entailment
10162	who is the owner of the suns?	Robert Sarver	entailment
10163	who is the owner of the suns?	lj melo	not_entailment
10164	what final are laroja and selecao in today?	the first eigth final	entailment
10165	what final are laroja and selecao in today?	bravs	not_entailment
10166	what is sweden proposing a third month of?	PATERNITY leave	entailment
10167	what is sweden proposing a third month of?	the u . s . doesn ' t have any maternity leave	not_entailment
10168	what day is it today?	World Pangolin Day	entailment
10169	what day is it today?	it ' s world pangolin day	not_entailment
10170	what kind of people does the country america have?	immigrants	entailment
10171	what kind of people does the country america have?		not_entailment
10172	what organization would have to be created today if it didn't yet exist?	NATO	entailment
10173	what organization would have to be created today if it didn't yet exist?	pre )	not_entailment
10174	what does trump say the people are feeling?	angry	entailment
10175	what does trump say the people are feeling?	deductibles high	not_entailment
10176	what is the speech for the dems?	a grand slam	entailment
10177	what is the speech for the dems?	the speech	not_entailment
10178	what kind of people are being talked about ?	 AN AFRO	not_entailment
10179	what kind of people are being talked about ?	afro people	entailment
10180	what happened to the girls sitting in the car?	being attacked with acid	not_entailment
10181	what happened to the girls sitting in the car?	attacked by acid	entailment
10182	what rating does jeff flake have in arizona	an 18	entailment
10183	what rating does jeff flake have in arizona		not_entailment
10184	what's he running for?	FIFA president	entailment
10185	what's he running for?	# cnnfc	not_entailment
10186	how much is the whale vomit worth?	£ 50,000	entailment
10187	how much is the whale vomit worth?	£50 , 000	not_entailment
10188	where did ryan owens beat a robot at beer pong?	Vegas	entailment
10189	where did ryan owens beat a robot at beer pong?	ces 2015	not_entailment
10190	what did firemen save the tweeter from?	nightmare	entailment
10191	what did firemen save the tweeter from?	thank you	not_entailment
10192	what should congressman john lewis focus on?	the burning and crime infested inner cities	entailment
10193	what should congressman john lewis focus on?	infested inner cities of the u . s .	not_entailment
10194	what is he dedicated to?	Daredevil	not_entailment
10195	what is he dedicated to?	fav show @ daredevil	entailment
10196	what has been cancelled?	the TEAM AMERICA 12/27 screening	entailment
10197	what has been cancelled?	team america 12 / 27 screening	not_entailment
10198	who is looking out for friends at the hospital?	Billy's	not_entailment
10199	who is looking out for friends at the hospital?	billy	entailment
10200	where are cars honking in the streets?	Tehran	entailment
10201	where are cars honking in the streets?	ppl	not_entailment
10202	who is not used to ice	The South	entailment
10203	who is not used to ice	the south is not used to ice	not_entailment
10204	who does heather want to take down?	RSD Julien speech	entailment
10205	who does heather want to take down?	men silencing my speech	not_entailment
10206	who was kim kardashian portraying in the photo shoot?	Jackie O	entailment
10207	who was kim kardashian portraying in the photo shoot?	anyone else else	not_entailment
10208	what technology is easily accessible?	a wireless navigated	entailment
10209	what technology is easily accessible?	when is access to the technology	not_entailment
10210	how did his mom react to the visuals?	got very emotional	entailment
10211	how did his mom react to the visuals?	narendra modi	not_entailment
10212	what are the latest findings in the russia investigation?	a pattern of contacts w the Russian  secret and then	entailment
10213	what are the latest findings in the russia investigation?	percelry	not_entailment
10214	who does flavio edreira support?	Brazil	entailment
10215	who does flavio edreira support?	cnn	not_entailment
10216	what is the most relatable song the author heard this year?	Sally Mae Back	entailment
10217	what is the most relatable song the author heard this year?	song	not_entailment
10218	what did terry mcauliffe do?	gave murders and rapists the right to vote	entailment
10219	what did terry mcauliffe do?		not_entailment
10220	what did rory mcllroy say he needed this week?	golf clubs	entailment
10221	what did rory mcllroy say he needed this week?	sort of need them	not_entailment
10222	what year of medinah is he watching?	2012	entailment
10223	what year of medinah is he watching?	can ' t wait for gleneagles	not_entailment
10224	where does bowls, pearls and curls think they're going?	heaven	not_entailment
10225	where does bowls, pearls and curls think they're going?	to heaven	entailment
10226	who is purported to have stolen the wikileaks twitter logo design?	Hillary Clinton	entailment
10227	who is purported to have stolen the wikileaks twitter logo design?	@ wikileaks	not_entailment
10228	what is the event being watched?	Hulk Hogans	entailment
10229	what is the event being watched?	hulk hogan	not_entailment
10230	what happened to the ticket at the poles?	to get schlonged	entailment
10231	what happened to the ticket at the poles?	schlonged	not_entailment
10232	thanks to chester bennington for his music and incredible what?	voice	entailment
10233	thanks to chester bennington for his music and incredible what?	linkin park	not_entailment
10234	what is either going up or down the stairs?	cat	entailment
10235	what is either going up or down the stairs?	# thedress	not_entailment
10236	why would crowe not board the plane?	Segway boards as luggage	entailment
10237	why would crowe not board the plane?	airport	not_entailment
10238	what is the view telling trump to do?	go on	entailment
10239	what is the view telling trump to do?	donald trump	not_entailment
10240	what did miley say about where the tongue is?	worried abt where tongues have been	entailment
10241	what did miley say about where the tongue is?	miley cyrus	not_entailment
10242	who held the debt ceiling approval up?	Dems	entailment
10243	who held the debt ceiling approval up?	donald trump	not_entailment
10244	whose friend was john blackwell?	Sheila Edrummer	entailment
10245	whose friend was john blackwell?		not_entailment
10246	who was given congratulations in the tweet?	Sasha	entailment
10247	who was given congratulations in the tweet?	being cool	not_entailment
10248	who is nicki miniaj?	a different " kind " of artist	entailment
10249	who is nicki miniaj?	anaconda	not_entailment
10250	what movie was cranston going to have a role in?	Power Rangers Movie	entailment
10251	what movie was cranston going to have a role in?	zordon	not_entailment
10252	did he do what they wanted him to do?	he did it	not_entailment
10253	did he do what they wanted him to do?	well he did it	entailment
10254	who are their thoughs with?	Marines and their families	entailment
10255	who are their thoughs with?	thoughts and prayers	not_entailment
10256	how are many of the children?	traumatised	not_entailment
10257	how are many of the children?	traumatized	entailment
10258	what does she leave stuck to shelves?	10 or R 20	entailment
10259	what does she leave stuck to shelves?	changeonething	not_entailment
10260	what are the survivors reliving?	the erasure of their own experience	entailment
10261	what are the survivors reliving?	the survivors are reliving the erasure of their own experience	not_entailment
10262	when was this satellite launched?	today's	not_entailment
10263	when was this satellite launched?	today	entailment
10264	why is bana alabed not happy?	are evacuated from East Aleppo	entailment
10265	why is bana alabed not happy?	she can ' t	not_entailment
10266	what did he do when he got tired?	laid down	entailment
10267	what did he do when he got tired?	he was tired	not_entailment
10268	what did jacqueline sarah geller buy for her mom?	fitbit Red Flex	entailment
10269	what did jacqueline sarah geller buy for her mom?		not_entailment
10270	why does the author thank the troops?	your service to our country	entailment
10271	why does the author thank the troops?	thank the author	not_entailment
10272	where is the maternity hospital located?	Syria	entailment
10273	where is the maternity hospital located?	heartbroken	not_entailment
10274	who is calling for executions?	beauty queens	entailment
10275	who is calling for executions?	shameful	not_entailment
10276	what did chrissy teigen disagree?	it is a slur	entailment
10277	what did chrissy teigen disagree?	i disagree	not_entailment
10278	who brough much laughter, joy, and healing to many people?	Robin Williams	entailment
10279	who brough much laughter, joy, and healing to many people?	@ lenadunham	not_entailment
10280	who is javier ballesteros's new hero?	Victor Dubuisson	entailment
10281	who is javier ballesteros's new hero?	it doesn ' t matter	not_entailment
10282	stefania owen gives a thank you to who?	Carrie Diaries family	entailment
10283	stefania owen gives a thank you to who?	stefania owen	not_entailment
10284	how did andreas widlund say it looked from a distance?	small	not_entailment
10285	how did andreas widlund say it looked from a distance?	so small	entailment
10286	what is not the right word?	Oriental	entailment
10287	what is not the right word?	21 , 2017	not_entailment
10288	adele ne fera pas la mi-temps of what?	du # Super Bowl	entailment
10289	adele ne fera pas la mi-temps of what?	elle a etee	not_entailment
10290	who done the explosion on june 12 .2016?	law enforcement	entailment
10291	who done the explosion on june 12 .2016?	avoid reporting inaccuracies	not_entailment
10292	is someone explaining themself in a way?	clarify my comments	entailment
10293	is someone explaining themself in a way?	29 , 2015	not_entailment
10294	who does abbylanum want to see?	Koreanfan_KC	entailment
10295	who does abbylanum want to see?	koreanfan _ kc	not_entailment
10296	what did @realdonaldtrump win in a landslide?	the Electoral College	entailment
10297	what did @realdonaldtrump win in a landslide?	deduct	not_entailment
10298	what team is congratulated	okcthunder	not_entailment
10299	what team is congratulated	okc thunder	entailment
10300	what did king kidd do with moms instead of talking?	cried	entailment
10301	what did king kidd do with moms instead of talking?	called moms	not_entailment
10302	did you post the photo?	never	entailment
10303	did you post the photo?	tarnish	not_entailment
10304	who has a grammar problem?	people of  Twitter	entailment
10305	who has a grammar problem?	kelsey grammer	not_entailment
10306	what did the man sling?	grape juice	entailment
10307	what did the man sling?	white surpremacists	not_entailment
10308	who are on the edge of their seats?	survivors and family members of victims	entailment
10309	who are on the edge of their seats?	survivors	not_entailment
10310	how many teachers does in the german wings crash?	2	entailment
10311	how many teachers does in the german wings crash?	cold n rain	not_entailment
10312	how is the men's swim relay described?	spectacular	entailment
10313	how is the men's swim relay described?	waiting 3 hours	not_entailment
10314	what type of sign did disney post?	gator	not_entailment
10315	what type of sign did disney post?	gator warnings	entailment
10316	what chance do you have?	to build platforms , ecosystems and products for a unique market  You	entailment
10317	what chance do you have?	# cnnafricanstart	not_entailment
10318	what political party is reince priebus a part of?	the Republican Party	entailment
10319	what political party is reince priebus a part of?	the rnc	not_entailment
10320	cory booker is from which political party?	the Democratic Party	entailment
10321	cory booker is from which political party?	donald trump is from democratic party	not_entailment
10322	what show was amy's nomination for?	parksandrecnbc	not_entailment
10323	what show was amy's nomination for?	parks and rec .	entailment
10324	where are the casualties being flown?	Kathmandu	entailment
10325	where are the casualties being flown?	# iaf	not_entailment
10326	how can you share your love for biggie?	using # BIGGIE 20	entailment
10327	how can you share your love for biggie?	ricky ricka	not_entailment
10328	who shouldn't threaten to prosecute people?	Presidents	entailment
10329	who shouldn't threaten to prosecute people?	presidents don ' t threaten tocute individuals	not_entailment
10330	where did planetary society say they were headed with light sail?	to space	entailment
10331	where did planetary society say they were headed with light sail?	space	not_entailment
10332	who should we believe?	the media	entailment
10333	who should we believe?	i should not believe	not_entailment
10334	where did tiger wood write about not ignoring everything on the media	Players Tribune	entailment
10335	where did tiger wood write about not ignoring everything on the media	you can ' t and shouldn ' t	not_entailment
10336	what magnitude was the earthquake?	the 6.2 magnitude	entailment
10337	what magnitude was the earthquake?	6 . 2 magnitude	not_entailment
10338	what is one thing we should we do if she dies in police custody?	don't put my face on a shirt , make sure my mama good and DEMAND answers	not_entailment
10339	what is one thing we should we do if she dies in police custody?	demand answers	entailment
10340	what did  jennifer lopez turn the ama's into?	Her Very Own Fashion Show	entailment
10341	what did  jennifer lopez turn the ama's into?	bodysuits , sparkly dresses , and lots of skin	not_entailment
10342	what does everyone think of that?	Outrage	entailment
10343	what does everyone think of that?	it is unanimous	not_entailment
10344	what stadium was the banner flying above?	ML Stadium	entailment
10345	what stadium was the banner flying above?	the banner was flying at ml stadium	not_entailment
10346	who did alex gavan help	searched and rescued victims	entailment
10347	who did alex gavan help	many dead	not_entailment
10348	what did her baby have that trumped her selfish desire?	divine right to live	entailment
10349	what did her baby have that trumped her selfish desire?	abortion	not_entailment
10350	who is feeling for clams?	Randy Stephens	entailment
10351	who is feeling for clams?	@ jdsutter	not_entailment
10352	how was wilson on a very personal call?	SECRETLY	entailment
10353	how was wilson on a very personal call?	wacky congresswoman	not_entailment
10354	what did andrew garfield say about rupaul's drag race?	Tony Kushner made me gay	entailment
10355	what did andrew garfield say about rupaul's drag race?	rachel leishman	not_entailment
10356	what did "girls can do anything boys can" used to mean to j. skyler?	an empty platitude	entailment
10357	what did "girls can do anything boys can" used to mean to j. skyler?	platitude	not_entailment
10358	what did eric cantor get on wall street?	a job	entailment
10359	what did eric cantor get on wall street?	it ' s a formality	not_entailment
10360	what does donald trump think that president obama should say?	he would have won against me	entailment
10361	what does donald trump think that president obama should say?		not_entailment
10362	how much time was left when a new keeper came in?	a minute	entailment
10363	how much time was left when a new keeper came in?	cnnworld	not_entailment
10364	what city does trey songz say he was located in during this post?	in Vegas	entailment
10365	what city does trey songz say he was located in during this post?	don ' t know	not_entailment
10366	how is her dad now?	he died	entailment
10367	how is her dad now?	@ teigh leigh	not_entailment
10368	who is going to use it?	McConaughey	not_entailment
10369	who is going to use it?	maya ibanez	entailment
10370	what was adidas parley kit made from?	parleyxxx Ocean Plastic	entailment
10371	what was adidas parley kit made from?	@ parleyxxx	not_entailment
10372	why did the author cry?	Beauitful scene made me cry # Fast Furious 7 # Paul Walker Tribute	entailment
10373	why did the author cry?	beauitful scene	not_entailment
10374	what is his next child's name going to be?	Melbourne Fine and Sunny	not_entailment
10375	what is his next child's name going to be?	melbourne fine & sunny	entailment
10376	did the tweeter google retouched or unretouched photos?	unretouched	not_entailment
10377	did the tweeter google retouched or unretouched photos?	unretouched photo	entailment
10378	during construction of the wall, what is being newly renovated?	fences and walls	entailment
10379	during construction of the wall, what is being newly renovated?	old and existing fences	not_entailment
10380	what can you relate to if you're a woman who has dated a man?	Cat Person	not_entailment
10381	what can you relate to if you're a woman who has dated a man?	i can ' t relate to " cat person " "	entailment
10382	what is she the minister of?	State for Youth Affairs	entailment
10383	what is she the minister of?	shamma	not_entailment
10384	what will the llamas be paid?	2,340 lbs of hay	not_entailment
10385	what will the llamas be paid?	each llama will earn 2 , 340 lbs of hay .	entailment
10386	what did the willow seeds hitting john's face feel like?	snow	entailment
10387	what did the willow seeds hitting john's face feel like?	cicadas	not_entailment
10388	who is trying to feel slightly prepared?	Amy Williams	entailment
10389	who is trying to feel slightly prepared?	amy williams mbe	not_entailment
10390	what type of breakup is this?	roofbreakup	not_entailment
10391	what type of breakup is this?	roof breakup	entailment
10392	touching what at the end?	montage	entailment
10393	touching what at the end?	montage to @ paulwalker	not_entailment
10394	why did the airport have cancellations?	fire	entailment
10395	why did the airport have cancellations?	# o ' hare	not_entailment
10396	what is everyone excited about?	Pope Francis is near	entailment
10397	what is everyone excited about?	# popeinvention	not_entailment
10398	who did trump say he needs to focus on?	our country	entailment
10399	who did trump say he needs to focus on?	donald trump	not_entailment
10400	how many years of obamacare?	7 yrs	entailment
10401	how many years of obamacare?	7 years of ocare	not_entailment
10402	how much does wes woodland weigh?	40 pounds	entailment
10403	how much does wes woodland weigh?	congratulated @ @ @ cnnhealth	not_entailment
10404	what does alistair brownlee do after a good race?	reflect	entailment
10405	what does alistair brownlee do after a good race?	he says that	not_entailment
10406	who chose the first draft pick?	Tampa Bay Buccaneers	entailment
10407	who chose the first draft pick?		not_entailment
10408	where did they lose contact?	Ukrainian airspace	entailment
10409	where did they lose contact?	mh17	not_entailment
10410	what does katie want you to do tomorrow?	meet the eyes of another woman on the street , smile	entailment
10411	what does katie want you to do tomorrow?	smile	not_entailment
10412	who is al roker's second dad?	Willard Scott	entailment
10413	who is al roker's second dad?	al roker	not_entailment
10414	how red does it really get	Super Blood Moon	not_entailment
10415	how red does it really get	how red	entailment
10416	the president shares what kind of info with russia?	classified	entailment
10417	the president shares what kind of info with russia?	classified info	not_entailment
10418	what can we add this to?	Rep John Lewis ' graphic novel " March	entailment
10419	what can we add this to?	@ colbertlater	not_entailment
10420	where is the protest after release of healthcare bill?	outside of McConnell's office	entailment
10421	where is the protest after release of healthcare bill?	mcconnell ' s office	not_entailment
10422	what was the man dragged off of?	the plane	entailment
10423	what was the man dragged off of?	@ united	not_entailment
10424	the military is being shut down when?	a time we need it most	not_entailment
10425	the military is being shut down when?	at a time when it is needed	entailment
10426	who paid for the unverified report?	political opponents	entailment
10427	who paid for the unverified report?	the report was not disclosed	not_entailment
10428	what is lupita nyong'o proud to say?	I'm going to a galaxy far far away	not_entailment
10429	what is lupita nyong'o proud to say?	i ' m going to a galaxy far away	entailment
10430	where is little jimmy dickens now?	Heaven	entailment
10431	where is little jimmy dickens now?	pickingin ' and grinnin '	not_entailment
10432	when did he direct this?	since taking office	entailment
10433	when did he direct this?	today ' s vote	not_entailment
10434	what is @evergreenstcol pretending?	I " feel " unsafe	entailment
10435	what is @evergreenstcol pretending?	admin	not_entailment
10436	how does bill want you to do it quickly?	drop it in the tub	entailment
10437	how does bill want you to do it quickly?	@ klustout	not_entailment
10438	who uncovered a 14-year long 9/11 cover-up?	Donald Trump	entailment
10439	who uncovered a 14-year long 9/11 cover-up?	@ realdonaldon	not_entailment
10440	how is delta valuing their customers since they are stuck on the plane?	a pizza party	entailment
10441	how is delta valuing their customers since they are stuck on the plane?		not_entailment
10442	tomorrow hilary was going from mumbai to where?	Muscat	entailment
10443	tomorrow hilary was going from mumbai to where?	from mumbai to muscat	not_entailment
10444	what was the final note regarding?	NCAA	entailment
10445	what was the final note regarding?	the note was about about the ncaa	not_entailment
10446	what is patricia arquette stating about her children?	are not living below the poverty line  That	entailment
10447	what is patricia arquette stating about her children?	help their moms	not_entailment
10448	what does linda sarsour need?	more than she's a woman	entailment
10449	what does linda sarsour need?	more than she ' s a woman	not_entailment
10450	where is the growing memorial?	outside of  NYPD 105 Pct station	entailment
10451	where is the growing memorial?	nypd 105	not_entailment
10452	what tournament is mike davis playing in this week?	usopengolf	not_entailment
10453	what tournament is mike davis playing in this week?	us open	entailment
10454	what was her excuse?	I'm old	entailment
10455	what was her excuse?	i ' m old	not_entailment
10456	what would be your first choice?	Lochte trainwreck  🚂 # DWTS	not_entailment
10457	what would be your first choice?	i would choose pizza	entailment
10458	who is joey thanking for his top ratings	Amazon and i Tunes lol owe it to our fans	entailment
10459	who is joey thanking for his top ratings	thank you	not_entailment
10460	how can bernie sanders win?	big western wins	entailment
10461	how can bernie sanders win?	# sandersmatch	not_entailment
10462	what is the sketch from?	twitter	not_entailment
10463	what is the sketch from?	@ twitter ! # magic	entailment
10464	who is dressed as beyonce in formation	Michelle Obama	entailment
10465	who is dressed as beyonce in formation	alp ozcelik	not_entailment
10466	what don't the people have?	the facts	entailment
10467	what don't the people have?	anakocovic	not_entailment
10468	where do the dealers need to come?	Keele Langstaff	entailment
10469	where do the dealers need to come?	spliff	not_entailment
10470	laura davies was asked about paige spiranac  playing in what?	Dubai Ladies	entailment
10471	laura davies was asked about paige spiranac  playing in what?		not_entailment
10472	which planet is this?	humans	not_entailment
10473	which planet is this?	this planet is pluto	entailment
10474	when was the vote?	June 14 , 2013	entailment
10475	when was the vote?	today ' s historic deal	not_entailment
10476	chelsea manning would rather tweet about what more?	meaningful things	entailment
10477	chelsea manning would rather tweet about what more?	@ meaningful	not_entailment
10478	whose cries should we pay attention to?	the victims and those suffering	entailment
10479	whose cries should we pay attention to?	victims	not_entailment
10480	what are they talking about?	Stunt ? Berating ? Meltdown	entailment
10481	what are they talking about?	tweet me	not_entailment
10482	what do the memes have to be about?	biting memes !! # worldcup # suarez	not_entailment
10483	what do the memes have to be about?	the world cup	entailment
10484	why is there a travel warning?	increased threats from terrorist groups	entailment
10485	why is there a travel warning?	threats from terrorist groups	not_entailment
10486	james think he was so effortlessly what?	golden	entailment
10487	james think he was so effortlessly what?	@ teampw	not_entailment
10488	who is paul feig going to call to make the new ghostbusters movie?	katiedippold	not_entailment
10489	who is paul feig going to call to make the new ghostbusters movie?	katie dippold	entailment
10490	how many dollars is charlie donating?	1000	entailment
10491	how many dollars is charlie donating?	1000 dollars	not_entailment
10492	what did the user not know about	my Miranda rights	entailment
10493	what did the user not know about	i did not know	not_entailment
10494	jerry nadler believes what people to have been blackmailed?	the American	not_entailment
10495	jerry nadler believes what people to have been blackmailed?	american people	entailment
10496	what did charlie daniels say we have lost?	a precious treasure	entailment
10497	what did charlie daniels say we have lost?	i am saddened	not_entailment
10498	will chris paul will be out for days or weeks?	weeks	entailment
10499	will chris paul will be out for days or weeks?	espnstein line	not_entailment
10500	what did the apologies illustrate?	the " Do's and Do n'ts " of apologizing	entailment
10501	what did the apologies illustrate?	the apologies illustrate the do ' ts	not_entailment
10502	why raise an eyebrow?	in your honor	entailment
10503	why raise an eyebrow?	i give a toast	not_entailment
10504	what was being evacuated?	hotel	entailment
10505	what was being evacuated?	the picture was taken	not_entailment
10506	what did nba do to the wizards?	were fined $ 15,000	entailment
10507	what did nba do to the wizards?	the nba fined $ 5 , 000	not_entailment
10508	who does discrimination hurt?	Nebraska families	entailment
10509	who does discrimination hurt?	the discrimination	not_entailment
10510	what continent is this tweet most about?	Bratislava	not_entailment
10511	what continent is this tweet most about?	europe	entailment
10512	which show was he saying goodbye to?	Breaking Bad	entailment
10513	which show was he saying goodbye to?	goodbye breaking bad	not_entailment
10514	what is the ad for?	She Rules She Rules	entailment
10515	what is the ad for?	2016 emmys	not_entailment
10516	what two teams were playing against each other?	Arizona UCLA game	not_entailment
10517	what two teams were playing against each other?	arizona and ucla	entailment
10518	who did president hollande have back to back talks with?	PM Modi	entailment
10519	who did president hollande have back to back talks with?	president hollande	not_entailment
10520	who did the bride price calculator discriminate against?	PhD holders	entailment
10521	who did the bride price calculator discriminate against?	over sabi	not_entailment
10522	mr. howe played what sport?	hockey	entailment
10523	mr. howe played what sport?	your contributions	not_entailment
10524	what actress was nominated for an award at the oscars in 2016?	Charlotte Rampling	entailment
10525	what actress was nominated for an award at the oscars in 2016?	i ' m not anymore	not_entailment
10526	for what does vicente fox owe an apology?	used the F word	entailment
10527	for what does vicente fox owe an apology?	25th	not_entailment
10528	what is black olives matter proof of?	racism is alive and well	entailment
10529	what is black olives matter proof of?	black olives	not_entailment
10530	what office does rachel platten respect?	the office of the President	entailment
10531	what office does rachel platten respect?		not_entailment
10532	what is jalynne crawford doing with twitter?	check	not_entailment
10533	what is jalynne crawford doing with twitter?	checking it over	entailment
10534	where is @visitithaca encouraging people to visit?	Keys	entailment
10535	where is @visitithaca encouraging people to visit?	@ visitibore	not_entailment
10536	who is being sent out?	players	entailment
10537	who is being sent out?	@ ripiain	not_entailment
10538	what doesn't he agree with about dianne fienstein?	interests , ideals	entailment
10539	what doesn't he agree with about dianne fienstein?	2017	not_entailment
10540	what will be a challenge for the falcon's defense?	being unpredictable	entailment
10541	what will be a challenge for the falcon's defense?	@ gregcosell	not_entailment
10542	who is the subject of the case that tim flack opened?	Zwelithini Ka Bhekuzulu	not_entailment
10543	who is the subject of the case that tim flack opened?	zwelithini kabhekulu	entailment
10544	what date was this posted?	December 5 , 2014	not_entailment
10545	what date was this posted?	december 4 , 2014	entailment
10546	bradjakeman is calling all of his cmo and advertising friends to express their thoughts to who?	CES	entailment
10547	bradjakeman is calling all of his cmo and advertising friends to express their thoughts to who?	this issue	not_entailment
10548	with what does ms. kardashian often accompany her messages?	a long caption	entailment
10549	with what does ms. kardashian often accompany her messages?	i ' m speaking from my heart	not_entailment
10550	what kind of casting would this be?	Perfect	entailment
10551	what kind of casting would this be?	@ ' s	not_entailment
10552	who is encouraging others to appreciate pictures of pluto?	NASA New Horizons	entailment
10553	who is encouraging others to appreciate pictures of pluto?	# tgif	not_entailment
10554	who is being wished a happy birthday?	Selena Gomez	entailment
10555	who is being wished a happy birthday?	you don ' t find words	not_entailment
10556	why did oliver stone's project involvement end?	the producers won't go with it	entailment
10557	why did oliver stone's project involvement end?	the producers won ' t go with it	not_entailment
10558	snl actors would have their moment when who would say their name?	Don Pardo	entailment
10559	snl actors would have their moment when who would say their name?		not_entailment
10560	how did they want him to die?	a slow death	entailment
10561	how did they want him to die?		not_entailment
10562	if he gets 500k retweets in one hour what will he do?	I 'll eat this # horseradish	entailment
10563	if he gets 500k retweets in one hour what will he do?	horseradish	not_entailment
10564	what did obama say in his speech?	Muslims are our sports heroes	entailment
10565	what did obama say in his speech?	what sport is talking about	not_entailment
10566	why is trump's wrecked car better than the alternative?	is pointed in right direction	entailment
10567	why is trump's wrecked car better than the alternative?	gov . mike huckabee	not_entailment
10568	whose heart goes out to robin williams' loved ones?	Fran Drescher	entailment
10569	whose heart goes out to robin williams' loved ones?	frandrecher	not_entailment
10570	how are the two related?	they're bros	entailment
